Id_Instal,distance_m,Nom_Carrer,Num_Carrer,Nom_Barri,Nom_Districte,Font,has_measurements,Latitud,Longitud,idTram,Descripció
9626,67.2,Sancho de Ávila,2.0,el Parc i la Llacuna del Poblenou,Sant Martí,OCI,True,41.397007,2.187801,282.0,Meridiana (Marina a Pl. de les Glòries)
20033,67.3,Fusteria,12.0,el Barri Gòtic,Ciutat Vella,TRÀNSIT,False,41.381273,2.181077,292.0,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau)
3326,67.5,Sant Adrià,194.0,el Bon Pastor,Sant Andreu,ACTIVITATS A L'AIRE LLIURE,False,41.43628,2.208179,532.0,Ronda Litoral (Potosí a Gran Via)
6326,67.9,Mediterrània,1.0,la Marina de Port,Sants-Montjuïc,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",False,41.36003,2.140171,148.0,Passeig de la Zona Franca (Foc a Pl. Cerdà)
5108,67.9,Mediterrània,1.0,la Marina de Port,Sants-Montjuïc,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",False,41.36003,2.140171,148.0,Passeig de la Zona Franca (Foc a Pl. Cerdà)
6647,67.9,Mediterrània,1.0,la Marina de Port,Sants-Montjuïc,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",False,41.36003,2.140171,148.0,Passeig de la Zona Franca (Foc a Pl. Cerdà)
7106,67.9,Mediterrània,1.0,la Marina de Port,Sants-Montjuïc,"PARCS, PATIS INTERIOR D'ILLA I ZEPQA",True,41.36003,2.140171,148.0,Passeig de la Zona Franca (Foc a Pl. Cerdà)
3506,68.1,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401484,2.1568,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
514,68.1,Bacardí,,la Maternitat i Sant Ramon,Les Corts,TRÀNSIT,False,41.379878,2.125553,34.0,Travessera de les Corts (Gran Via Carles III a Aristides Maillol)
9767,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,True,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
20004,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,True,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
486,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
9768,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
9586,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
6966,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
1887,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
8326,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
10306,68.4,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401519,2.156851,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
3511,69.1,Sol,2.0,la Vila de Gràcia,Gràcia,OCI,False,41.401589,2.156954,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
3517,69.7,Sol,6.0,la Vila de Gràcia,Gràcia,OCI,False,41.401667,2.157069,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
2347,69.8,Blai,52.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374325,2.162859,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
1986,69.8,Blai,52.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374325,2.162859,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
1549,69.8,Blai,52.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374325,2.162859,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
1778,69.8,Blai,52.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374325,2.162859,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
1548,69.8,Blai,52.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374325,2.162859,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
6747,69.9,Calàbria,147.0,la Nova Esquerra de l'Eixample,Eixample,TRÀNSIT,True,41.381766,2.152195,146.0,Aragó (Urgell a Tarragona)
10127,70.7,Hondures,23.0,la Sagrera,Sant Andreu,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.419327,2.190482,337.0,Gran Sant Andreu - Sagrera (Onze de Setembre a Clot)
9446,70.7,Hondures,23.0,la Sagrera,Sant Andreu,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.419327,2.190482,337.0,Gran Sant Andreu - Sagrera (Onze de Setembre a Clot)
10046,70.7,Hondures,23.0,la Sagrera,Sant Andreu,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES,False,41.419327,2.190482,337.0,Gran Sant Andreu - Sagrera (Onze de Setembre a Clot)
5686,71.2,Sant Quintí,32.0,el Camp de l'Arpa del Clot,Sant Martí,TRÀNSIT,False,41.413429,2.17823,470.0,Indústria (Padilla a P. Maragall)
