Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,Data_Instalacio,Data_DesInstalacio,Font
9128,209900,Av,Meridiana,246,63,Navas,09,Sant Andreu,41.417182,2.187091,19/03/2024,,TRÀNSIT
9146,87009,C,Comte Borrell,313,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.390992,2.144443,18/04/2024,31/05/2024,XARXA DE TRANSPORT PÚBLIC
9166,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,19/04/2024,08/10/2024,OCI
9167,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,19/04/2024,30/10/2025,OCI
9186,326303,C,de les Sitges,5,01,el Raval,01,Ciutat Vella,41.384378,2.169669,19/04/2024,,OCI
9226,311703,C,Sancho de Ávila,19,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397501,2.188282,09/05/2024,10/09/2024,OCI
9246,290206,Pl,Rovira i Trias,9,31,la Vila de Gràcia,06,Gràcia,41.407725,2.158256,15/05/2024,,OCI
9266,275803,C,d'en Rauric,23,02,el Barri Gòtic,01,Ciutat Vella,41.38074,2.175683,16/05/2024,19/06/2024,OCI
9286,266405,Rbla,Prim,19,70,el Besòs i el Maresme,10,Sant Martí,41.411656,2.218416,31/05/2024,02/07/2024,ACTIVITATS A L'AIRE LLIURE
9306,217603,Plta,Montcada,6,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384407,2.181969,04/06/2024,,OCI
9326,112208,C,Escudellers,12,02,el Barri Gòtic,01,Ciutat Vella,41.379567,2.176338,05/06/2024,07/10/2024,OCI
9327,112208,C,Escudellers,34,02,el Barri Gòtic,01,Ciutat Vella,41.380127,2.176933,05/06/2024,07/10/2024,OCI
9328,112208,C,Escudellers,48,02,el Barri Gòtic,01,Ciutat Vella,41.38039,2.177536,05/06/2024,07/10/2024,OCI
9346,275803,C,d'en Rauric,23,02,el Barri Gòtic,01,Ciutat Vella,41.38074,2.175683,19/06/2024,,OCI
9366,276001,Pl,Reial,10,02,el Barri Gòtic,01,Ciutat Vella,41.380207,2.175595,19/06/2024,26/03/2025,OCI
9386,122904,C,Ferran,7,02,el Barri Gòtic,01,Ciutat Vella,41.380662,2.174525,21/06/2024,02/10/2024,OCI
9426,167505,Pl,Joanic,7,31,la Vila de Gràcia,06,Gràcia,41.405521,2.16221,02/07/2024,09/09/2025,OCI
9427,167505,Pl,Joanic,4,31,la Vila de Gràcia,06,Gràcia,41.405302,2.162305,02/07/2024,,OCI
9428,245201,C,Pardo,11,62,el Congrés i els Indians,09,Sant Andreu,41.427095,2.182552,02/07/2024,,TRÀNSIT
9429,50009,C,Bruniquer,45,31,la Vila de Gràcia,06,Gràcia,41.405336,2.161687,03/07/2024,25/04/2025,OCI
9446,156509,C,Hondures,23,61,la Sagrera,09,Sant Andreu,41.419327,2.190482,10/07/2024,05/02/2025,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES
9447,236506,C,Oristà,37,56,Vallbona,08,Nou Barris,41.464862,2.185729,10/07/2024,10/10/2024,NETEJA
9466,276001,Pl,Reial,1,02,el Barri Gòtic,01,Ciutat Vella,41.380031,2.174892,12/07/2024,,OCI
9486,110304,C,Enric Granados,30,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.390261,2.159181,12/07/2024,28/04/2025,OCI
9506,43400,C,Blai,42,11,el Poble-sec,03,Sants-Montjuïc,41.374103,2.163451,23/07/2024,11/10/2024,OCI
9526,360200,C,Vidre,3,02,el Barri Gòtic,01,Ciutat Vella,41.379894,2.176011,23/07/2024,07/10/2024,OCI
9527,29400,C,Avinyó,11,02,el Barri Gòtic,01,Ciutat Vella,41.38122,2.17659,23/07/2024,08/10/2024,OCI
9528,275803,C,d'en Rauric,23,02,el Barri Gòtic,01,Ciutat Vella,41.38074,2.175683,23/07/2024,07/10/2024,OCI
9529,2902,C,de n'Aglà,3,02,el Barri Gòtic,01,Ciutat Vella,41.380176,2.17638,23/07/2024,02/10/2024,OCI
9546,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,26/07/2024,15/08/2024,OCI
9566,89004,C,Consell de Cent,238,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.38668,2.159927,15/08/2024,30/01/2025,ZONA DE VIANANTS
9567,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,15/08/2024,08/09/2025,OCI
9586,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156851,04/09/2024,21/10/2024,OCI
9606,144306,C,Pi i Margall,89,33,el Baix Guinardó,07,Horta-Guinardó,41.411025,2.164407,10/09/2024,,TRÀNSIT
9607,144306,C,Pi i Margall,73,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.409848,2.164049,10/09/2024,,TRÀNSIT
9608,144306,C,Pi i Margall,50,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.407968,2.163767,10/09/2024,,TRÀNSIT
9609,311703,C,Sancho de Ávila,19,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397501,2.188282,12/09/2024,19/09/2024,OCI
9626,311703,C,Sancho de Ávila,2,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397007,2.187801,19/09/2024,,OCI
9646,18800,C,Arai,5,02,el Barri Gòtic,01,Ciutat Vella,41.38067,2.177121,07/10/2024,20/01/2025,OCI
9647,135203,C,Foc,38,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.354327,2.137363,04/10/2024,,TRÀNSIT
9648,701920,Pg,Passeig de Francesc Candel,41,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.353942,2.138528,04/10/2024,,TRÀNSIT
9649,260500,C,Plom,37,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.352823,2.140125,04/10/2024,,TRÀNSIT
9650,155801,C,Ferro,16,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.35295,2.137485,04/10/2024,02/12/2024,TRÀNSIT
9651,701694,C,Carrer de Cal Cisó,35,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.350292,2.139861,04/10/2024,18/10/2024,TRÀNSIT
9652,342208,C,Carrer de Tortosa,22,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.351304,2.140719,04/10/2024,,TRÀNSIT
9653,124706,C,Ferrocarrils Catalans,6,13,la Marina de Port,03,Sants-Montjuïc,41.360379,2.144355,04/10/2024,11/02/2025,TRÀNSIT
9667,46409,Pg,Born,25,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.385209,2.182997,08/10/2024,12/11/2024,OCI
9668,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384923,2.182772,08/10/2024,05/05/2025,OCI
9669,270606,C,Puigmartí,37,31,la Vila de Gràcia,06,Gràcia,41.402882,2.161484,08/10/2024,,OCI
9686,222501,C,de Moià,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.395167,2.1517,08/10/2024,,OCI
9687,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,08/10/2024,12/11/2024,OCI
9706,350308,C,València,488,06,la Sagrada Família,02,Eixample,41.404079,2.178587,10/10/2024,27/10/2025,TRÀNSIT
9726,43400,C,Blai,42,11,el Poble-sec,03,Sants-Montjuïc,41.374103,2.163451,11/10/2024,05/06/2025,OCI
9746,193108,Pg,Manuel Girona,88,21,Pedralbes,04,Les Corts,41.392107,2.128419,15/10/2024,27/11/2024,XARXA DE TRANSPORT PÚBLIC
9766,701694,C,Carrer de Cal Cisó,17,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.34993,2.138802,18/10/2024,,TRÀNSIT
9767,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156851,21/10/2024,,OCI
9768,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156851,21/10/2024,28/04/2025,OCI
9769,243206,C,Pamplona,84,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.396549,2.191778,18/10/2024,29/04/2025,OCI
9770,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376152,2.138468,05/11/2024,05/11/2024,OCI
9772,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,12/11/2024,12/11/2024,OCI
9786,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376152,2.138468,05/11/2024,15/04/2025,OCI
9806,32700,C,Balmes,195,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.397239,2.152143,12/11/2024,17/12/2024,NETEJA
9807,122609,C,Ferlandina,29,01,el Raval,01,Ciutat Vella,41.382523,2.166333,12/11/2024,16/01/2025,OCI
9808,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,12/11/2024,30/10/2025,OCI
9827,46409,Pg,Born,25,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.385209,2.182997,12/11/2024,15/04/2025,OCI
9846,110304,C,Enric Granados,65,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.391122,2.157903,12/11/2024,,OCI
9866,366400,Pl,Virreina,4,31,la Vila de Gràcia,06,Gràcia,41.405117,2.157312,28/11/2024,05/06/2025,OCI
9886,318906,C,Santander,63,73,la Verneda i la Pau,10,Sant Martí,41.42841,2.202673,02/12/2024,,TRÀNSIT
9887,318906,C,Santander,58,73,la Verneda i la Pau,10,Sant Martí,41.428698,2.203192,02/12/2024,,TRÀNSIT
9888,318906,C,Santander,71,59,el Bon Pastor,09,Sant Andreu,41.430299,2.204312,02/12/2024,,TRÀNSIT
9889,318906,C,Santander,80,59,el Bon Pastor,09,Sant Andreu,41.430594,2.204764,02/12/2024,,TRÀNSIT
9906,144601,Av,Diagonal,296,06,la Sagrada Família,02,Eixample,41.402663,2.183195,17/12/2024,,TRÀNSIT
9907,89004,C,Consell de Cent,515,06,la Sagrada Família,02,Eixample,41.401589,2.179516,17/12/2024,,TRÀNSIT
9908,701825,C,dels Encants Vells,4,05,el Fort Pienc,02,Eixample,41.401755,2.186636,17/12/2024,,TRÀNSIT
9909,146902,Pl,Glòries Catalanes,3,05,el Fort Pienc,02,Eixample,41.401992,2.18612,17/12/2024,,TRÀNSIT
9946,94300,C,Cristóbal de Moura,186,70,el Besòs i el Maresme,10,Sant Martí,41.41431,2.210942,15/01/2025,,TRÀNSIT
9947,270107,C,Puigcerdà,127,70,el Besòs i el Maresme,10,Sant Martí,41.415023,2.209767,15/01/2025,,ZONA DE VIANANTS
9948,143609,C,Josep Pla,120,70,el Besòs i el Maresme,10,Sant Martí,41.413683,2.209668,15/01/2025,,TRÀNSIT
9949,242906,C,Pallars,475,70,el Besòs i el Maresme,10,Sant Martí,41.412727,2.212725,15/01/2025,,TRÀNSIT
9950,270107,C,Puigcerdà,104,70,el Besòs i el Maresme,10,Sant Martí,41.413928,2.211427,15/01/2025,,ZONA DE VIANANTS
9951,94300,C,Cristóbal de Moura,207,70,el Besòs i el Maresme,10,Sant Martí,41.415173,2.211689,15/01/2025,18/05/2025,TRÀNSIT
9952,122609,C,Ferlandina,29,01,el Raval,01,Ciutat Vella,41.382523,2.166333,16/01/2025,,OCI
9966,18800,C,Arai,5,02,el Barri Gòtic,01,Ciutat Vella,41.38067,2.177121,22/01/2025,09/12/2025,OCI
9967,113109,C,Escultor Canet,2,17,Sants - Badal,03,Sants-Montjuïc,41.374246,2.12814,22/01/2025,,NETEJA
9986,268003,C,Provença,152,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.387742,2.152285,28/01/2025,,TRÀNSIT
10010,111602,C,Escipió,51,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,41.406365,2.144642,28/01/2025,,NETEJA
